,Count,Mean,Std Dev,Min,25%,50%,75%,Max
year,67564.0,2020.8153306494582,2.185318069109091,2016.0,2019.0,2021.0,2023.0,2024.0
avg_price,67564.0,10.570658536018836,46.16631229902147,0.025,0.6614285714285714,1.270135135135135,3.6930974842767292,1290.8
obs_count,67564.0,17.133710259901722,19.507658321918765,1.0,5.0,12.0,22.0,224.0
price_lag_1,67564.0,10.55479165055264,46.05362605920858,0.025,0.66,1.267777777777778,3.6912708333333333,1290.8
price_lag_3,67564.0,10.471316272053054,45.48534520133096,0.025,0.6557410714285714,1.26,3.67,1290.8
price_lag_6,67564.0,10.354557293450064,44.58760872036911,0.0354,0.65,1.25,3.6520555555555556,1290.8
rolling_mean_3,67564.0,10.547184664794171,45.43320058541634,0.027,0.665,1.2766666666666666,3.7485351737186106,1070.1566666666663
rolling_mean_6,67564.0,10.486894264832086,44.68863034955274,0.03325,0.666258659045297,1.2784345159671244,3.7520438011063013,1029.2483333333332
rolling_std_3,67564.0,1.260176359178714,8.706547549095891,0.0,0.022607104589769875,0.0618347834007814,0.2127540692006847,554.8778905609172
rolling_std_6,67564.0,1.6035027114211762,9.601729800247645,0.0,0.0361008237374259,0.0913344247271149,0.30043047505265785,393.76008879773485
pct_change_1m,67564.0,1.477365042505986,16.040444069846803,-48.95319237088568,-4.018312562834626,0.2409192076812038,5.26979128869104,81.03262889576722
volatility_ratio_3,67564.0,0.0864562870897119,0.12958917514004756,0.0,0.022449433335774198,0.0463853313273649,0.09693530322420697,1.7244688730999465
volatility_ratio_6,67564.0,0.1159344887599029,0.14781467304455492,0.0,0.03714143955922153,0.06930659780042375,0.13507906275568796,2.427986938453174
food_insecurity_score,67564.0,44.3560831211888,20.540809210762255,2.6,29.9,41.9,59.2,89.8
